-1,-1,-1,44,63,45,73,19,43,75,75
-1,-1,-1,44,63,45,49,42,56,16,16
-1,-1,-1,44,63,74,49,42,91,1,1
-1,-1,-1,55,36,65,24,84,34,89,0
-1,-1,-1,55,36,90,8,51,26,4,37
-1,-1,-1,3,3,78,7,33,47,17,67
-1,-1,-1,82,85,78,11,79,47,17,67
-1,-1,-1,82,22,53,5,28,47,32,88
-1,-1,-1,60,66,31,48,29,69,20,80
-1,-1,-1,83,66,54,40,71,69,23,23
-1,-1,-1,83,10,59,52,6,2,15,23
-1,-1,-1,76,27,27,46,35,39,68,14
-1,-1,-1,41,13,50,46,87,39,68,57
-1,-1,41,41,13,50,58,87,70,38,77
-1,25,25,62,18,12,30,21,9,-1,-1
64,81,86,72,61,-1,30,-1,-1,-1,-1
